,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,A Indx,density,pH,sulphates,Vit Indx,quality,Type
0,5.9,0.32,0.39,low,0.114,24,140,13.90515148,0.9934,3.09,low,very_low,high,Lemon_Juice
1,7.8,0.24,0.18,high,0.046,33,160,17.13007015,0.9963,3.2,medium,low,high,Lemon_Juice
2,7.7,0.58,0.01,very_low,0.088,12,18,15.61896628,0.99568,,medium,low,high,Orange_Juice
3,8.3,0.18,0.3,very_low,0.033,20,57,18.08532184,0.99109,3.02,medium,medium,high,Lemon_Juice
4,6.5,,0.31,very_low,0.044,,127,13.96816036,0.9928,3.49,low,low,high,Lemon_Juice
5,7.4,,0.28,,0.032,43,138,,,3.1,low,low,high,Lemon_Juice
6,6.2,0.23,0.38,very_low,0.044,12,113,14.53788587,0.99176,3.3,medium,medium,low,Lemon_Juice
7,6.7,0.29,0.49,,0.034,35,156,15.14344776,0.9945,3.13,low,low,high,Lemon_Juice
8,,,0.43,very_high,0.053,60,184,19.4989602,1.0008,3.28,medium,very_low,high,Lemon_Juice
9,6.4,0.23,0.35,very_high,0.042,54,140,14.21730554,0.9967,3.23,low,very_low,low,Lemon_Juice
10,6.8,0.32,0.39,very_high,0.026,34,124,15.36349782,0.99286,3.18,low,medium,,Lemon_Juice
11,6.3,0.32,0.32,very_low,0.03,24,101,14.48700027,0.98923,3.21,low,high,,Lemon_Juice
12,6.4,0.25,0.37,medium,0.039,41,147,14.8985807,0.9921,3.18,low,medium,high,Lemon_Juice
13,6.9,0.19,0.33,very_low,0.043,63,149,15.35612255,0.9925,3.44,medium,medium,low,Lemon_Juice
14,7.8,0.7,0.06,very_low,0.079,20,35,16.61459151,0.99628,3.4,medium,medium,low,Orange_Juice
15,6.9,0.5,0.04,very_low,0.085,19,49,14.54361952,0.9958,3.35,medium,low,low,Orange_Juice
16,6.7,0.16,0.32,very_high,0.035,18,156,14.56929567,0.99666,2.88,low,very_low,high,Lemon_Juice
17,6,0.28,0.49,high,0.048,61,222,14.14376932,0.9953,3.19,low,very_low,,Lemon_Juice
18,11.6,0.47,0.44,very_low,0.147,36,51,25.39935357,0.99836,3.38,medium,low,low,Orange_Juice
19,7.7,,0.29,medium,0.051,25,142,17.04048327,0.9939,3.16,low,low,low,Lemon_Juice
20,6.8,0.17,0.34,very_low,0.04,38,111,14.95749023,0.99,3.24,low,high,high,Lemon_Juice
21,6.1,0.56,0,low,0.079,6,9,13.36643898,0.9948,3.59,medium,medium,high,Orange_Juice
22,8,0.25,0.49,very_high,0.044,,185,17.37591139,0.998,3.34,low,low,high,Lemon_Juice
23,7.5,0.14,0.34,very_low,0.055,50,153,16.323511,0.9945,3.29,medium,low,high,Lemon_Juice
24,5.9,0.415,0.13,very_low,0.04,,64,12.68859187,0.9922,3.29,medium,low,low,Lemon_Juice
25,6.1,0.16,0.37,very_low,,37,97,14.18601754,0.9922,3.4,medium,low,high,Lemon_Juice
26,5.8,0.27,,very_high,0.058,42,206,,0.9946,3.32,low,high,high,Lemon_Juice
27,5.6,0.2,0.22,very_low,0.049,25,155,12.1437863,0.99296,3.74,low,low,low,Lemon_Juice
28,7.4,0.15,0.42,,0.045,49,154,16.51403143,0.992,3,medium,low,,Lemon_Juice
29,6.4,0.18,0.32,very_high,0.052,24,90,14.3656293,0.9963,3.35,low,low,high,Lemon_Juice
30,8,0.28,0.32,high,0.045,61,204,17.47451348,0.99543,3.1,medium,low,high,Lemon_Juice
31,6.5,0.08,0.33,very_low,,23,93,14.53850216,0.991,,medium,medium,high,Lemon_Juice
32,6.9,0.28,0.41,,0.016,6,55,15.56006524,0.98876,3.16,low,high,low,Lemon_Juice
33,4.9,0.47,0.17,very_low,0.035,60,148,10.9394716,0.98964,3.27,low,,high,Lemon_Juice
34,,0.23,0.42,very_low,0.062,35,100,16.0720303,0.99318,3.04,low,very_low,low,Lemon_Juice
35,8.1,0.29,0.49,high,0.042,22,124,18.24916139,0.9944,3.14,low,medium,high,Lemon_Juice
36,8.8,0.34,0.33,very_high,0.036,46,172,19.38038027,0.9966,3.08,low,low,low,Lemon_Juice
37,6.8,0.28,0.37,,0.057,35,208,15.25829845,0.9973,3.57,medium,low,low,Lemon_Juice
38,7.2,0.25,0.39,very_high,0.038,42,155,16.38333577,0.9999,2.97,low,very_low,high,Lemon_Juice
39,,0.19,0.32,high,0.019,54,188,15.43897496,0.9935,3.25,low,medium,high,Lemon_Juice
40,5.7,0.2,0.3,low,0.046,38,125,,0.99276,3.34,low,low,high,Lemon_Juice
41,6,0.32,0.12,,0.041,34,,13.04113273,0.9944,3.16,medium,low,low,Lemon_Juice
42,7.5,0.22,0.32,low,0.045,29,100,15.9869596,0.99135,3.08,medium,medium,high,Lemon_Juice
